_time,src,dest,signature,category,file_name,severity,user,status_label
2025-01-29T20:12:44.012396,10.0.250.47,192.168.176.3,EICAR-TEST-FILE,command-and-control,setup.msi,high,CORP\user166,closed without escalation
2025-04-12T20:12:43.911387,10.0.238.116,192.168.230.173,Meterpreter Beacon,priv-esc,powershell.exe,medium,CORP\user185,closed without escalation
2025-03-09T20:12:43.958236,10.0.177.164,192.168.127.77,Unknown Hash Hit,malware,invoice.docx,medium,CORP\user011,closed without escalation
2025-03-31T20:12:43.926916,10.0.25.21,192.168.69.161,Suspicious PowerShell,malware,calc.exe,medium,CORP\user061,closed with escalation
2025-02-18T20:12:43.983731,10.0.161.178,192.168.202.133,Meterpreter Beacon,priv-esc,svchost.exe,low,CORP\user020,closed without escalation
2025-03-16T20:12:43.947563,10.0.0.169,192.168.115.128,Unknown Hash Hit,persistence,svchost.exe,low,CORP\user018,closed with escalation
2025-04-03T20:12:43.923442,10.0.11.116,192.168.7.207,Cobalt Strike Loader,lateral-movement,svchost.exe,high,CORP\user007,closed without escalation
2025-02-21T20:12:43.980066,10.0.59.24,192.168.53.169,EICAR-TEST-FILE,command-and-control,install.ps1,medium,CORP\user060,closed without escalation
2025-04-19T20:12:43.901128,10.0.159.158,192.168.99.52,EICAR-TEST-FILE,exfiltration,install.ps1,medium,CORP\user026,closed without escalation
2025-02-26T20:12:43.973145,10.0.10.217,192.168.199.81,Cobalt Strike Loader,priv-esc,setup.msi,high,CORP\user061,closed with escalation
2025-04-13T20:12:43.909839,10.0.84.21,192.168.152.111,Unknown Hash Hit,persistence,powershell.exe,critical,CORP\user154,closed with escalation
2025-03-26T20:12:43.934984,10.0.242.72,192.168.101.5,Cobalt Strike Loader,lateral-movement,calc.exe,low,CORP\user010,closed without escalation
2025-01-27T20:12:44.014229,10.0.49.138,192.168.171.31,EICAR-TEST-FILE,priv-esc,runme.tmp,medium,CORP\user154,closed without escalation
2025-02-04T20:12:44.003521,10.0.97.169,192.168.103.122,Suspicious PowerShell,priv-esc,install.ps1,low,CORP\user027,closed without escalation
2025-03-15T20:12:43.950012,10.0.24.200,192.168.5.176,EICAR-TEST-FILE,persistence,calc.exe,medium,CORP\user133,closed without escalation
2025-04-23T20:12:43.896138,10.0.232.187,192.168.57.16,Ransomware Behaviour,malware,calc.exe,medium,CORP\user023,closed without escalation
2025-04-02T20:12:43.924092,10.0.235.152,192.168.116.133,Unknown Hash Hit,exfiltration,calc.exe,high,CORP\user184,closed with escalation
2025-02-23T20:12:43.976734,10.0.50.153,192.168.254.237,Unknown Hash Hit,lateral-movement,invoice.docx,low,CORP\user198,closed with escalation
2025-02-22T20:12:43.977883,10.0.54.86,192.168.116.134,EICAR-TEST-FILE,lateral-movement,invoice.docx,low,CORP\user053,closed without escalation
2025-02-07T20:12:43.998873,10.0.21.78,192.168.193.44,Cobalt Strike Loader,command-and-control,install.ps1,medium,CORP\user159,closed without escalation
2025-02-07T20:12:43.999443,10.0.133.172,192.168.224.149,Ransomware Behaviour,priv-esc,invoice.docx,medium,CORP\user067,closed with escalation
2025-03-12T20:12:43.954001,10.0.177.200,192.168.58.126,Cobalt Strike Loader,priv-esc,calc.exe,low,CORP\user085,closed without escalation
2025-03-22T20:12:43.939438,10.0.0.125,192.168.36.72,Unknown Hash Hit,command-and-control,invoice.docx,high,CORP\user181,closed without escalation
2025-02-08T20:12:43.997105,10.0.43.3,192.168.115.53,Unknown Hash Hit,persistence,calc.exe,medium,CORP\user057,closed without escalation
2025-02-11T20:12:43.994169,10.0.20.149,192.168.127.202,Unknown Hash Hit,priv-esc,svchost.exe,high,CORP\user171,closed without escalation
2025-02-10T20:12:43.994867,10.0.43.79,192.168.99.193,Suspicious PowerShell,malware,invoice.docx,low,CORP\user090,closed with escalation
2025-03-09T20:12:43.957257,10.0.247.234,192.168.48.237,Unknown Hash Hit,priv-esc,powershell.exe,medium,CORP\user151,closed without escalation
2025-04-26T20:12:43.891393,10.0.145.20,192.168.86.252,EICAR-TEST-FILE,lateral-movement,powershell.exe,medium,CORP\user187,closed without escalation
2025-04-24T20:12:43.893570,10.0.56.103,192.168.138.125,EICAR-TEST-FILE,command-and-control,runme.tmp,low,CORP\user070,closed without escalation
2025-02-12T20:12:43.991739,10.0.191.238,192.168.129.45,Cobalt Strike Loader,malware,powershell.exe,medium,CORP\user154,closed without escalation
2025-02-22T20:12:43.978143,10.0.98.245,192.168.243.15,EICAR-TEST-FILE,exfiltration,powershell.exe,high,CORP\user175,closed without escalation
2025-02-09T20:12:43.997098,10.0.170.223,192.168.152.127,EICAR-TEST-FILE,command-and-control,setup.msi,high,CORP\user154,closed without escalation
2025-03-15T20:12:43.949198,10.0.113.13,192.168.120.13,Meterpreter Beacon,lateral-movement,invoice.docx,medium,CORP\user186,closed without escalation
2025-03-27T20:12:43.933389,10.0.9.33,192.168.197.179,Ransomware Behaviour,priv-esc,svchost.exe,high,CORP\user066,closed with escalation
2025-04-24T20:12:43.894112,10.0.222.195,192.168.22.215,Suspicious PowerShell,exfiltration,invoice.docx,high,CORP\user140,closed without escalation
2025-03-31T20:12:43.927563,10.0.37.78,192.168.53.158,EICAR-TEST-FILE,lateral-movement,install.ps1,low,CORP\user116,closed with escalation
2025-04-18T20:12:43.902177,10.0.178.186,192.168.99.151,Cobalt Strike Loader,command-and-control,setup.msi,medium,CORP\user138,closed without escalation
2025-03-12T20:12:43.953376,10.0.29.255,192.168.187.118,Ransomware Behaviour,command-and-control,calc.exe,low,CORP\user074,closed without escalation
2025-03-03T20:12:43.966360,10.0.87.236,192.168.40.76,Meterpreter Beacon,persistence,setup.msi,critical,CORP\user086,closed without escalation
2025-02-07T20:12:43.999817,10.0.91.196,192.168.90.165,EICAR-TEST-FILE,command-and-control,setup.msi,medium,CORP\user133,closed without escalation
2025-02-05T20:12:44.001602,10.0.172.10,192.168.124.198,EICAR-TEST-FILE,priv-esc,runme.tmp,low,CORP\user152,closed with escalation
2025-02-18T20:12:43.983339,10.0.250.215,192.168.0.116,EICAR-TEST-FILE,lateral-movement,runme.tmp,high,CORP\user198,closed without escalation
2025-04-15T20:12:43.906254,10.0.243.248,192.168.162.45,Ransomware Behaviour,priv-esc,powershell.exe,medium,CORP\user009,closed without escalation
2025-04-10T20:12:43.913723,10.0.119.76,192.168.144.250,Ransomware Behaviour,priv-esc,powershell.exe,medium,CORP\user004,closed without escalation
2025-02-19T20:12:43.981741,10.0.194.170,192.168.71.75,EICAR-TEST-FILE,priv-esc,install.ps1,low,CORP\user090,closed without escalation
2025-02-13T20:12:43.990667,10.0.202.93,192.168.149.203,Ransomware Behaviour,persistence,install.ps1,medium,CORP\user139,closed with escalation
2025-01-27T20:12:44.014561,10.0.133.110,192.168.15.210,Suspicious PowerShell,lateral-movement,install.ps1,high,CORP\user115,closed with escalation
2025-02-24T20:12:43.975727,10.0.183.49,192.168.47.211,Ransomware Behaviour,exfiltration,powershell.exe,low,CORP\user027,closed with escalation
2025-03-26T20:12:43.934256,10.0.140.90,192.168.191.129,Cobalt Strike Loader,malware,powershell.exe,medium,CORP\user148,closed without escalation
2025-04-21T20:12:43.898154,10.0.255.154,192.168.4.245,Cobalt Strike Loader,lateral-movement,svchost.exe,high,CORP\user080,closed without escalation
2025-02-16T20:12:43.986096,10.0.134.83,192.168.76.28,Unknown Hash Hit,command-and-control,svchost.exe,high,CORP\user044,closed without escalation
2025-04-03T20:12:43.922791,10.0.221.94,192.168.251.59,Suspicious PowerShell,priv-esc,powershell.exe,low,CORP\user012,closed without escalation
2025-04-14T20:12:43.907856,10.0.91.239,192.168.172.150,Cobalt Strike Loader,lateral-movement,runme.tmp,low,CORP\user016,closed with escalation
2025-02-17T20:12:43.985025,10.0.2.12,192.168.243.138,Ransomware Behaviour,malware,calc.exe,medium,CORP\user050,closed without escalation
2025-03-09T20:12:43.958218,10.0.41.57,192.168.196.229,Meterpreter Beacon,lateral-movement,calc.exe,low,CORP\user129,closed without escalation
2025-03-26T20:12:43.934840,10.0.80.63,192.168.192.244,EICAR-TEST-FILE,priv-esc,install.ps1,medium,CORP\user017,closed without escalation
2025-01-28T20:12:44.013693,10.0.124.95,192.168.13.7,EICAR-TEST-FILE,exfiltration,powershell.exe,low,CORP\user020,closed with escalation
2025-03-23T20:12:43.937838,10.0.231.90,192.168.149.99,Suspicious PowerShell,exfiltration,install.ps1,critical,CORP\user097,closed without escalation
2025-02-04T20:12:44.002851,10.0.83.255,192.168.145.178,Suspicious PowerShell,command-and-control,svchost.exe,medium,CORP\user113,closed with escalation
2025-03-07T20:12:43.960465,10.0.20.19,192.168.246.79,Suspicious PowerShell,lateral-movement,svchost.exe,medium,CORP\user181,closed without escalation
2025-02-16T20:12:43.987240,10.0.153.98,192.168.102.168,Cobalt Strike Loader,malware,calc.exe,high,CORP\user143,closed without escalation
2025-02-13T20:12:43.990404,10.0.114.63,192.168.206.93,Meterpreter Beacon,exfiltration,invoice.docx,medium,CORP\user007,closed without escalation
2025-02-12T20:12:43.992326,10.0.90.31,192.168.133.18,Suspicious PowerShell,command-and-control,setup.msi,medium,CORP\user186,closed without escalation
2025-03-16T20:12:43.947410,10.0.71.87,192.168.13.146,Unknown Hash Hit,lateral-movement,invoice.docx,low,CORP\user079,closed without escalation
2025-04-19T20:12:43.901241,10.0.106.66,192.168.237.175,Meterpreter Beacon,command-and-control,setup.msi,high,CORP\user142,closed without escalation
2025-02-04T20:12:44.003878,10.0.245.19,192.168.240.48,EICAR-TEST-FILE,persistence,install.ps1,medium,CORP\user050,closed with escalation
2025-04-02T20:12:43.924008,10.0.234.246,192.168.210.4,Cobalt Strike Loader,lateral-movement,install.ps1,low,CORP\user063,closed without escalation
2025-02-14T20:12:43.988850,10.0.75.163,192.168.253.168,Unknown Hash Hit,exfiltration,setup.msi,medium,CORP\user047,closed without escalation
2025-03-15T20:12:43.949332,10.0.142.55,192.168.92.246,Unknown Hash Hit,command-and-control,runme.tmp,medium,CORP\user184,closed without escalation
2025-03-26T20:12:43.934677,10.0.84.222,192.168.87.0,Meterpreter Beacon,exfiltration,powershell.exe,high,CORP\user153,closed without escalation
2025-04-16T20:12:43.905260,10.0.192.236,192.168.181.98,Meterpreter Beacon,lateral-movement,svchost.exe,medium,CORP\user069,closed with escalation
2025-04-13T20:12:43.908785,10.0.2.67,192.168.171.27,Unknown Hash Hit,lateral-movement,calc.exe,low,CORP\user171,closed without escalation
2025-03-31T20:12:43.927801,10.0.50.28,192.168.179.157,Meterpreter Beacon,priv-esc,invoice.docx,medium,CORP\user125,closed without escalation
2025-03-04T20:12:43.965087,10.0.59.236,192.168.0.67,Suspicious PowerShell,persistence,powershell.exe,low,CORP\user113,closed with escalation
2025-03-09T20:12:43.958212,10.0.83.96,192.168.83.114,Cobalt Strike Loader,command-and-control,setup.msi,high,CORP\user190,closed with escalation
2025-03-20T20:12:43.941961,10.0.108.78,192.168.192.137,Meterpreter Beacon,malware,powershell.exe,medium,CORP\user043,closed without escalation
2025-04-18T20:12:43.903207,10.0.110.224,192.168.20.217,Ransomware Behaviour,malware,setup.msi,medium,CORP\user003,closed without escalation
2025-04-14T20:12:43.908526,10.0.75.85,192.168.151.189,Unknown Hash Hit,lateral-movement,setup.msi,low,CORP\user198,closed without escalation
2025-02-04T20:12:44.003507,10.0.222.141,192.168.163.151,Ransomware Behaviour,command-and-control,runme.tmp,low,CORP\user091,closed with escalation
2025-02-04T20:12:44.002963,10.0.229.244,192.168.98.95,Ransomware Behaviour,command-and-control,install.ps1,medium,CORP\user167,closed with escalation
2025-04-05T20:12:43.919842,10.0.241.84,192.168.228.123,Cobalt Strike Loader,malware,powershell.exe,low,CORP\user004,closed without escalation
2025-02-02T20:12:44.006426,10.0.28.188,192.168.118.3,Ransomware Behaviour,lateral-movement,setup.msi,high,CORP\user134,closed without escalation
2025-04-22T20:12:43.896432,10.0.120.144,192.168.189.199,Ransomware Behaviour,priv-esc,svchost.exe,low,CORP\user177,closed without escalation
2025-03-01T20:12:43.968182,10.0.150.105,192.168.197.37,Unknown Hash Hit,malware,setup.msi,medium,CORP\user061,closed without escalation
2025-04-11T20:12:43.911528,10.0.99.151,192.168.245.211,Meterpreter Beacon,exfiltration,invoice.docx,high,CORP\user115,closed without escalation
2025-03-30T20:12:43.928095,10.0.141.250,192.168.22.155,Suspicious PowerShell,malware,svchost.exe,medium,CORP\user019,closed without escalation
2025-04-16T20:12:43.905421,10.0.7.71,192.168.223.203,Suspicious PowerShell,exfiltration,install.ps1,medium,CORP\user031,closed without escalation
2025-03-09T20:12:43.957287,10.0.30.118,192.168.5.2,EICAR-TEST-FILE,lateral-movement,install.ps1,low,CORP\user108,closed without escalation
