_time,src,dest,signature,category,file_name,severity,user,status_label
2025-04-06T20:44:49.407403,10.0.229.193,192.168.15.141,EICAR-TEST-FILE,command-and-control,setup.msi,high,CORP\user153,closed without escalation
2025-02-13T20:44:49.479085,10.0.223.242,192.168.224.231,EICAR-TEST-FILE,command-and-control,setup.msi,high,CORP\user200,closed without escalation
2025-03-09T20:44:49.445491,10.0.184.181,192.168.220.229,Ransomware Behaviour,exfiltration,install.ps1,medium,CORP\user011,closed with escalation
2025-04-21T20:44:49.386824,10.0.47.219,192.168.30.238,Unknown Hash Hit,command-and-control,invoice.docx,medium,CORP\user034,closed without escalation
2025-03-16T20:44:49.436804,10.0.157.55,192.168.152.229,Cobalt Strike Loader,malware,runme.tmp,low,CORP\user110,closed without escalation
2025-03-19T20:44:49.431948,10.0.38.232,192.168.113.251,Suspicious PowerShell,priv-esc,svchost.exe,medium,CORP\user084,closed without escalation
2025-03-17T20:44:49.434314,10.0.132.252,192.168.106.156,Ransomware Behaviour,malware,install.ps1,medium,CORP\user045,closed without escalation
2025-03-02T20:44:49.456152,10.0.153.132,192.168.225.181,Ransomware Behaviour,lateral-movement,calc.exe,medium,CORP\user014,closed without escalation
2025-04-08T20:44:49.403924,10.0.67.196,192.168.181.105,Cobalt Strike Loader,exfiltration,install.ps1,medium,CORP\user104,closed without escalation
2025-02-20T20:44:49.470151,10.0.32.145,192.168.168.217,Unknown Hash Hit,priv-esc,install.ps1,medium,CORP\user119,closed without escalation
2025-03-22T20:44:49.428583,10.0.107.172,192.168.148.39,EICAR-TEST-FILE,malware,svchost.exe,low,CORP\user200,closed without escalation
2025-03-01T20:44:49.457613,10.0.164.191,192.168.244.54,Cobalt Strike Loader,persistence,invoice.docx,medium,CORP\user145,closed without escalation
2025-04-04T20:44:49.410390,10.0.205.199,192.168.176.40,EICAR-TEST-FILE,persistence,setup.msi,high,CORP\user145,closed without escalation
2025-02-04T20:44:49.491215,10.0.62.156,192.168.12.135,Unknown Hash Hit,command-and-control,svchost.exe,medium,CORP\user104,closed with escalation
2025-04-16T20:44:49.393249,10.0.42.112,192.168.65.59,Unknown Hash Hit,lateral-movement,install.ps1,medium,CORP\user058,closed without escalation
2025-04-01T20:44:49.413848,10.0.245.167,192.168.180.195,EICAR-TEST-FILE,command-and-control,install.ps1,medium,CORP\user130,closed without escalation
2025-02-07T20:44:49.487803,10.0.174.235,192.168.168.102,Meterpreter Beacon,lateral-movement,powershell.exe,medium,CORP\user017,closed without escalation
2025-04-22T20:44:49.385606,10.0.192.145,192.168.116.100,Meterpreter Beacon,lateral-movement,calc.exe,medium,CORP\user015,closed without escalation
2025-03-15T20:44:49.437074,10.0.250.125,192.168.186.167,Cobalt Strike Loader,priv-esc,svchost.exe,low,CORP\user146,closed without escalation
2025-02-24T20:44:49.463851,10.0.97.170,192.168.215.153,Suspicious PowerShell,exfiltration,runme.tmp,low,CORP\user026,closed without escalation
2025-01-29T20:44:49.500219,10.0.73.247,192.168.39.119,Meterpreter Beacon,command-and-control,invoice.docx,high,CORP\user035,closed with escalation
2025-04-19T20:44:49.389496,10.0.38.181,192.168.120.0,Ransomware Behaviour,priv-esc,calc.exe,critical,CORP\user149,closed without escalation
2025-02-07T20:44:49.486666,10.0.54.45,192.168.5.253,Ransomware Behaviour,lateral-movement,setup.msi,low,CORP\user052,closed without escalation
2025-03-31T20:44:49.415224,10.0.91.59,192.168.196.19,Ransomware Behaviour,priv-esc,invoice.docx,low,CORP\user065,closed without escalation
2025-03-15T20:44:49.438000,10.0.240.20,192.168.105.0,Suspicious PowerShell,command-and-control,setup.msi,medium,CORP\user084,closed without escalation
2025-04-23T20:44:49.383349,10.0.154.25,192.168.174.189,Unknown Hash Hit,malware,svchost.exe,medium,CORP\user160,closed with escalation
2025-02-13T20:44:49.478719,10.0.197.154,192.168.34.248,Suspicious PowerShell,priv-esc,calc.exe,high,CORP\user136,closed without escalation
2025-02-03T20:44:49.492389,10.0.207.57,192.168.146.79,Ransomware Behaviour,exfiltration,invoice.docx,low,CORP\user005,closed without escalation
2025-02-20T20:44:49.470068,10.0.113.59,192.168.7.248,Suspicious PowerShell,lateral-movement,svchost.exe,medium,CORP\user037,closed with escalation
2025-02-18T20:44:49.471749,10.0.239.58,192.168.120.159,Cobalt Strike Loader,priv-esc,runme.tmp,high,CORP\user128,closed without escalation
2025-02-25T20:44:49.463035,10.0.46.27,192.168.176.42,EICAR-TEST-FILE,malware,setup.msi,low,CORP\user171,closed with escalation
2025-03-22T20:44:49.428112,10.0.233.99,192.168.71.155,Meterpreter Beacon,command-and-control,setup.msi,low,CORP\user155,closed without escalation
2025-03-28T20:44:49.419671,10.0.92.15,192.168.85.199,Cobalt Strike Loader,malware,runme.tmp,medium,CORP\user057,closed without escalation
2025-02-03T20:44:49.493648,10.0.190.180,192.168.170.16,Meterpreter Beacon,lateral-movement,invoice.docx,medium,CORP\user169,closed without escalation
2025-03-05T20:44:49.451303,10.0.92.233,192.168.2.25,Ransomware Behaviour,malware,install.ps1,low,CORP\user174,closed without escalation
2025-03-17T20:44:49.434989,10.0.25.214,192.168.48.8,Cobalt Strike Loader,lateral-movement,svchost.exe,medium,CORP\user160,closed without escalation
2025-04-07T20:44:49.405784,10.0.21.117,192.168.61.167,Unknown Hash Hit,malware,setup.msi,medium,CORP\user163,closed with escalation
2025-03-05T20:44:49.451823,10.0.216.238,192.168.145.86,Suspicious PowerShell,lateral-movement,powershell.exe,high,CORP\user061,closed without escalation
2025-02-13T20:44:49.478658,10.0.145.163,192.168.77.183,Suspicious PowerShell,lateral-movement,powershell.exe,low,CORP\user096,closed without escalation
2025-03-11T20:44:49.443699,10.0.156.165,192.168.93.117,Suspicious PowerShell,priv-esc,calc.exe,low,CORP\user080,closed without escalation
2025-01-28T20:44:49.502021,10.0.17.86,192.168.51.38,Meterpreter Beacon,priv-esc,runme.tmp,low,CORP\user071,closed without escalation
2025-02-13T20:44:49.479377,10.0.82.21,192.168.73.24,EICAR-TEST-FILE,malware,runme.tmp,medium,CORP\user110,closed without escalation
2025-03-09T20:44:49.445473,10.0.170.151,192.168.111.133,Ransomware Behaviour,lateral-movement,powershell.exe,low,CORP\user176,closed without escalation
2025-02-17T20:44:49.473614,10.0.231.129,192.168.81.20,Unknown Hash Hit,command-and-control,runme.tmp,medium,CORP\user163,closed with escalation
2025-02-04T20:44:49.490753,10.0.151.62,192.168.29.144,Unknown Hash Hit,priv-esc,calc.exe,medium,CORP\user066,closed without escalation
2025-03-03T20:44:49.454510,10.0.109.62,192.168.207.208,Suspicious PowerShell,command-and-control,runme.tmp,critical,CORP\user045,closed without escalation
2025-02-07T20:44:49.487374,10.0.200.178,192.168.179.97,Ransomware Behaviour,priv-esc,invoice.docx,critical,CORP\user041,closed with escalation
2025-02-14T20:44:49.477333,10.0.176.74,192.168.187.59,Unknown Hash Hit,malware,setup.msi,medium,CORP\user004,closed without escalation
2025-03-29T20:44:49.418491,10.0.209.24,192.168.239.153,Unknown Hash Hit,command-and-control,runme.tmp,low,CORP\user021,closed with escalation
2025-04-26T20:44:49.379547,10.0.220.53,192.168.135.79,Cobalt Strike Loader,lateral-movement,install.ps1,low,CORP\user029,closed without escalation
2025-04-03T20:44:49.411525,10.0.143.173,192.168.238.121,Unknown Hash Hit,priv-esc,powershell.exe,medium,CORP\user140,closed without escalation
2025-03-31T20:44:49.415567,10.0.145.139,192.168.47.6,Ransomware Behaviour,priv-esc,calc.exe,medium,CORP\user116,closed with escalation
2025-04-18T20:44:49.390776,10.0.45.46,192.168.139.45,Cobalt Strike Loader,persistence,invoice.docx,low,CORP\user142,closed without escalation
2025-02-02T20:44:49.494179,10.0.228.206,192.168.42.70,Suspicious PowerShell,priv-esc,setup.msi,low,CORP\user138,closed without escalation
2025-04-04T20:44:49.409517,10.0.14.167,192.168.0.80,Suspicious PowerShell,persistence,install.ps1,high,CORP\user137,closed without escalation
2025-03-09T20:44:49.446492,10.0.160.43,192.168.77.205,Suspicious PowerShell,priv-esc,install.ps1,high,CORP\user126,closed without escalation
2025-04-09T20:44:49.402925,10.0.214.191,192.168.25.159,Meterpreter Beacon,priv-esc,calc.exe,critical,CORP\user173,closed without escalation
2025-02-22T20:44:49.467075,10.0.46.171,192.168.72.143,Suspicious PowerShell,malware,runme.tmp,low,CORP\user084,closed without escalation
2025-03-15T20:44:49.437250,10.0.1.98,192.168.208.63,Meterpreter Beacon,command-and-control,powershell.exe,critical,CORP\user055,closed without escalation
2025-03-10T20:44:49.444102,10.0.136.242,192.168.35.154,Ransomware Behaviour,lateral-movement,calc.exe,medium,CORP\user073,closed without escalation
2025-02-19T20:44:49.470383,10.0.137.173,192.168.82.27,Unknown Hash Hit,persistence,svchost.exe,medium,CORP\user014,closed without escalation
2025-04-25T20:44:49.380388,10.0.123.189,192.168.114.130,EICAR-TEST-FILE,malware,svchost.exe,high,CORP\user172,closed without escalation
2025-04-12T20:44:49.398364,10.0.217.86,192.168.102.98,Unknown Hash Hit,persistence,setup.msi,high,CORP\user006,closed without escalation
2025-02-05T20:44:49.489333,10.0.189.210,192.168.38.168,EICAR-TEST-FILE,lateral-movement,svchost.exe,high,CORP\user199,closed without escalation
2025-03-15T20:44:49.437827,10.0.226.103,192.168.128.48,Ransomware Behaviour,lateral-movement,setup.msi,medium,CORP\user001,closed without escalation
2025-02-03T20:44:49.492629,10.0.97.252,192.168.255.42,EICAR-TEST-FILE,malware,invoice.docx,critical,CORP\user100,closed without escalation
2025-02-21T20:44:49.468675,10.0.86.49,192.168.172.135,Cobalt Strike Loader,persistence,setup.msi,high,CORP\user140,closed without escalation
2025-04-11T20:44:49.400150,10.0.214.230,192.168.81.14,Suspicious PowerShell,exfiltration,runme.tmp,high,CORP\user159,closed with escalation
2025-04-13T20:44:49.397727,10.0.31.106,192.168.97.153,Ransomware Behaviour,malware,install.ps1,low,CORP\user005,closed without escalation
